siparis_id,musteri_id,siparis_tarihi,sehir,bolge,kategori,urun_adi,adet,birim_fiyat,indirim_orani,kargo_ucreti,odeme_turu,musteri_tipi,teslimat_gunu,musteri_puani,iade_durumu,kar_marji_orani,toplam_tutar
SIP101013,MUS1390,2025-01-21 10:30:00,İstanbul,Marmara,ofis,Not Tutucu,1,129.01,0.0,39.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.242,168.91
SIP100308,MUS1317,2025-02-01 17:25:00,Trabzon,Karadeniz,Ofis,Kalem Seti,4,98.2,0.0,49.9,Banka Kartı,Yeni,2.0,5.0,Hayır,0.325,496.11
SIP101295,MUS1404,2024-08-24 12:47:00,İstanbul,Marmara,Ev ve Yaşam,Organizer,1,251.11,0.2,29.9,Banka Kartı,Yeni,6.0,4.0,Hayır,0.339,230.79
SIP100598,MUS1223,2025-08-08 19:03:00,İstanbul,Marmara,Elektronik,Akıllı Saat,3,2889.29,0.0,39.9,Banka Kartı,Yeni,1.0,1.0,Hayır,0.189,8707.77
SIP101066,MUS1436,2024-02-10 10:36:00,Antalya,Akdeniz,Ofis,Defter Seti,1,144.65,0.15,39.9,Kredi Kartı,Yeni,5.0,5.0,Hayır,0.35,162.85
SIP101009,MUS1252,2025-01-25 16:20:00,Adana,Akdeniz,Ev ve Yaşam,Organizer,5,280.12,0.0,39.9,Kredi Kartı,Mevcut,5.0,2.0,Evet,0.385,1440.5
SIP101277,MUS1287,2024-07-31 17:52:00,Konya,İç Anadolu,Spor,Dambıl Seti,2,1618.73,0.05,29.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.208,3105.49
SIP100677,MUS1148,2024-07-11 16:24:00,Adana,Akdeniz,Spor,Dambıl Seti,4,1517.65,0.0,29.9,Kapıda Ödeme,Mevcut,3.0,,Hayır,0.311,6100.5
SIP100320,MUS1211,2025-06-10 22:43:00,Ankara,İç Anadolu,Kozmetik,Güneş Kremi,1,461.1,0.1,29.9,Kapıda Ödeme,Yeni,3.0,5.0,Hayır,0.249,444.89
SIP100161,MUS1379,2025-09-21 17:32:00,Mersin,Akdeniz,Elektronik,Kablosuz Kulaklık,2,1537.72,0.15,59.9,Kredi Kartı,Mevcut,1.0,5.0,Hayır,0.399,2674.02
SIP100492,MUS1169,2024-04-12 12:39:00,Ankara,İç Anadolu,Kitap,Python Notları,1,235.97,0.0,39.9,Kredi Kartı,Yeni,4.0,1.0,Hayır,0.2,275.87
SIP101363,MUS1248,2025-07-12 15:20:00,Adana,Akdeniz,Kozmetik,Şampuan,1,194.37,0.0,49.9,Dijital Cüzdan,Yeni,4.0,3.0,Hayır,0.404,244.27
SIP101061,MUS1294,2024-05-04 15:41:00,İstanbul,Marmara,Elektronik,Kablosuz Kulaklık,3,1445.43,0.0,39.9,Banka Kartı,Mevcut,4.0,4.0,Evet,0.407,4376.19
SIP100391,MUS1402,2024-06-23 18:18:00,İstanbul,Marmara,Elektronik,Bluetooth Hoparlör,1,1232.33,0.0,39.9,Dijital Cüzdan,Mevcut,6.0,5.0,Hayır,0.241,1272.23
SIP100993,MUS1226,2025-02-04 10:04:00,İstanbul,Marmara,Elektronik,Powerbank,1,815.53,0.0,39.9,Banka Kartı,Yeni,4.0,3.0,Hayır,0.203,855.43
SIP100686,MUS1032,2025-12-12 22:38:00,Ankara,İç Anadolu,Ev ve Yaşam,Termos,1,504.31,0.2,39.9,Havale/EFT,Mevcut,2.0,4.0,Hayır,0.265,443.35
SIP100797,MUS1231,2024-01-19 20:02:00,Antalya,Akdeniz,Kozmetik,Serum,2,487.32,0.05,0.0,Dijital Cüzdan,VIP,4.0,5.0,Hayır,0.239,925.91
SIP100352,MUS1101,2024-09-05 15:23:00,Kocaeli,Marmara,Kitap,Girişimcilik,1,208.21,0.2,29.9,Banka Kartı,Mevcut,4.0,4.0,Hayır,0.324,196.47
SIP100989,MUS1328,2025-04-06 10:16:00,Bursa,Marmara,Ofis,Not Tutucu,1,130.83,0.0,39.9,Kredi Kartı,Yeni,3.0,4.0,Evet,0.39,170.73
SIP100043,MUS1056,2025-11-16 21:47:00,İstanbul,Marmara,Ofis,Not Tutucu,5,135.47,0.0,29.9,Kapıda Ödeme,Yeni,3.0,4.0,Hayır,0.383,707.25
SIP100033,MUS1289,2025-04-13 13:59:00,İstanbul,Marmara,Kitap,İş Analitiği Rehberi,2,295.27,0.05,49.9,Havale/EFT,Yeni,4.0,4.0,Hayır,0.27,610.91
SIP101126,MUS1406,2024-09-11 20:05:00,Mersin,Akdeniz,Elektronik,Bluetooth Hoparlör,1,1159.89,0.1,39.9,Kredi Kartı,,2.0,4.0,Hayır,0.204,1083.8
SIP100645,MUS1131,2025-07-27 20:40:00,İzmir,Ege,Ofis,Mouse Pad,1,192.44,0.05,49.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.304,232.72
SIP100886,MUS1117,2025-10-06 18:15:00,İzmir,Ege,Spor,Suluk,1,204.54,0.15,39.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.297,213.76
SIP100503,MUS1090,2025-10-10 21:17:00,Ankara,İç Anadolu,Kitap,Girişimcilik,2,186.43,0.05,29.9,Kapıda Ödeme,Yeni,6.0,5.0,Hayır,0.361,384.12
SIP101179,MUS1172,2025-02-24 13:22:00,Konya,İç Anadolu,Spor,Direnç Bandı,1,267.18,0.0,29.9,Kapıda Ödeme,Mevcut,3.0,3.0,Hayır,0.298,297.08
SIP101334,MUS1433,2024-05-09 21:29:00,İzmir,Ege,Spor,Spor Çantası,2,859.57,0.0,29.9,Kredi Kartı,Yeni,2.0,4.0,Hayır,0.355,1749.04
SIP100725,MUS1146,2025-05-24 10:10:00,Kocaeli,Marmara,Kitap,Zaman Yönetimi,2,154.18,0.05,49.9,Banka Kartı,Yeni,3.0,5.0,Hayır,0.385,342.84
SIP100533,MUS1128,2024-11-19 14:22:00,Trabzon,Karadeniz,Kitap,Python Notları,2,225.82,0.0,39.9,Kredi Kartı,Yeni,4.0,5.0,Hayır,0.234,491.54
SIP100479,MUS1099,2025-06-10 20:32:00,İstanbul,Marmara,Kozmetik,Güneş Kremi,3,455.19,0.0,49.9,Kredi Kartı,Yeni,1.0,5.0,Hayır,0.2,1415.47
SIP100513,MUS1450,2024-06-02 17:06:00,Kayseri,İç Anadolu,Kozmetik,Şampuan,2,198.17,0.0,49.9,Kredi Kartı,VIP,4.0,5.0,Hayır,0.216,446.24
SIP101300,MUS1030,2025-09-28 14:55:00,Antalya,Akdeniz,Elektronik,Webcam,3,892.29,0.05,49.9,Kredi Kartı,Mevcut,3.0,5.0,Hayır,0.388,2592.93
SIP100387,MUS1221,2024-04-05 13:38:00,İstanbul,Marmara,Elektronik,Powerbank,2,780.72,0.0,39.9,Dijital Cüzdan,VIP,2.0,5.0,Hayır,0.328,1601.34
SIP100283,MUS1339,2024-08-21 13:35:00,Konya,İç Anadolu,Spor,Direnç Bandı,1,259.29,0.0,29.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.337,289.19
SIP100234,MUS1204,2025-03-03 22:53:00,Gaziantep,Güneydoğu Anadolu,Elektronik,Bluetooth Hoparlör,1,1220.47,0.05,49.9,Kredi Kartı,VIP,2.0,3.0,Hayır,0.267,1209.35
SIP101294,MUS1144,2024-04-16 08:22:00,Ankara,İç Anadolu,Kozmetik,Serum,1,577.75,0.2,39.9,Dijital Cüzdan,Mevcut,2.0,5.0,Hayır,0.269,502.1
SIP100147,MUS1190,2024-04-03 19:33:00,İstanbul,Marmara,Kitap,Veri Bilimi 101,1,248.03,0.0,59.9,Kredi Kartı,Mevcut,4.0,3.0,Hayır,0.388,307.93
SIP100258,MUS1403,2025-07-23 15:03:00,Eskişehir,İç Anadolu,Kitap,Zaman Yönetimi,3,169.39,0.0,59.9,Dijital Cüzdan,VIP,3.0,4.0,Hayır,0.415,568.07
SIP101040,MUS1386,2025-04-01 09:30:00,Trabzon,Karadeniz,Spor,Dambıl Seti,1,1554.15,0.0,49.9,Banka Kartı,,4.0,5.0,Hayır,0.217,1604.05
SIP100669,MUS1294,2025-12-11 11:11:00,Antalya,Akdeniz,Ofis,Kalem Seti,1,107.66,0.05,59.9,Banka Kartı,Yeni,2.0,5.0,Hayır,0.246,162.18
SIP100390,MUS1246,2025-01-04 08:27:00,Mersin,Akdeniz,Ev ve Yaşam,Termos,1,487.61,0.0,59.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.302,547.51
SIP101357,MUS1360,2025-03-15 09:14:00,Antalya,Akdeniz,Spor,Suluk,2,204.16,0.0,39.9,Dijital Cüzdan,Mevcut,2.0,4.0,Hayır,0.196,448.22
SIP100330,MUS1356,2024-01-10 08:44:00,Antalya,Akdeniz,Kozmetik,Şampuan,2,182.62,0.15,39.9,Kredi Kartı,Yeni,3.0,4.0,Hayır,0.394,350.35
SIP100235,MUS1146,2024-02-08 08:19:00,Kocaeli,Marmara,Ev ve Yaşam,Saklama Kutusu,1,205.66,0.15,39.9,Banka Kartı,Yeni,1.0,5.0,Hayır,0.242,214.71
SIP100663,MUS1159,2024-05-14 09:52:00,Antalya,Akdeniz,Spor,Spor Çantası,1,879.86,0.0,39.9,Kapıda Ödeme,Mevcut,2.0,4.0,Hayır,0.212,919.76
SIP100787,MUS1043,2024-05-19 15:48:00,İstanbul,Marmara,Elektronik,Powerbank,1,825.48,0.0,29.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.313,855.38
SIP100626,MUS1086,2024-10-25 15:25:00,Konya,İç Anadolu,Elektronik,Bluetooth Hoparlör,1,1284.36,0.05,49.9,Dijital Cüzdan,Mevcut,5.0,5.0,Hayır,0.271,1270.04
SIP100058,MUS1442,2025-05-31 14:53:00,Samsun,Karadeniz,Spor,Spor Çantası,1,1015.4,0.1,39.9,Dijital Cüzdan,Mevcut,1.0,4.0,Hayır,0.375,953.76
SIP100890,MUS1271,2024-11-07 19:47:00,İzmir,Ege,Kitap,Girişimcilik,4,216.38,,49.9,Kredi Kartı,Yeni,1.0,3.0,Hayır,0.199,915.42
SIP101317,MUS1060,2024-09-05 20:49:00,,Akdeniz,Ev ve Yaşam,Saklama Kutusu,1,233.63,0.1,29.9,Dijital Cüzdan,Yeni,5.0,2.0,Hayır,0.385,240.17
SIP100850,MUS1349,2025-05-25 18:06:00,İstanbul,Marmara,Elektronik,Bluetooth Hoparlör,2,1252.71,0.15,39.9,Dijital Cüzdan,Yeni,2.0,4.0,Hayır,0.209,2169.51
SIP100792,MUS1393,2024-05-05 11:53:00,Ankara,İç Anadolu,Kozmetik,Şampuan,1,195.73,0.0,39.9,Kredi Kartı,Mevcut,2.0,4.0,Hayır,0.181,235.63
SIP100288,MUS1253,2025-06-17 10:43:00,Eskişehir,İç Anadolu,Ev ve Yaşam,Organizer,1,275.95,0.0,39.9,Kredi Kartı,Yeni,5.0,5.0,Hayır,0.289,315.85
SIP100882,MUS1422,2024-04-23 09:50:00,Adana,Akdeniz,Spor,Direnç Bandı,4,249.76,0.1,29.9,Banka Kartı,Mevcut,3.0,5.0,Hayır,0.306,929.04
SIP100561,MUS1123,2025-10-23 14:53:00,İzmir,Ege,Ev ve Yaşam,Masa Lambası,2,708.02,0.1,29.9,Kredi Kartı,Yeni,4.0,5.0,Hayır,0.267,1304.34
SIP100127,MUS1080,2025-11-17 19:44:00,İstanbul,Marmara,Spor,Suluk,1,188.3,0.0,39.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.232,228.2
SIP100603,MUS1427,2024-04-25 19:03:00,İzmir,Ege,Kitap,Veri Bilimi 101,2,241.84,0.0,29.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.34,513.58
SIP101003,MUS1196,2025-11-13 15:04:00,İstanbul,Marmara,Kitap,İş Analitiği Rehberi,2,273.31,0.1,49.9,Kredi Kartı,Mevcut,5.0,3.0,Hayır,0.19,541.86
SIP100715,MUS1033,2024-11-10 21:50:00,İstanbul,Marmara,Ev ve Yaşam,Termos,1,552.05,0.0,39.9,,Mevcut,2.0,3.0,Hayır,0.185,591.95
SIP100702,MUS1036,2025-02-01 13:03:00,Ankara,İç Anadolu,Elektronik,Akıllı Saat,1,2912.0,0.2,39.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.284,2369.5
SIP101096,MUS1366,2025-11-12 12:07:00,İstanbul,Marmara,Ev ve Yaşam,Kahve Kupası,2,177.9,0.0,29.9,Kredi Kartı,Mevcut,4.0,5.0,Hayır,0.36,385.7
SIP101364,MUS1267,2024-04-17 14:44:00,Bursa,Marmara,Kitap,Veri Bilimi 101,1,228.47,0.05,29.9,Kredi Kartı,Yeni,4.0,3.0,Evet,0.252,246.95
SIP100936,MUS1100,2024-02-18 12:58:00,İstanbul,Marmara,Kitap,Python Notları,2,221.68,0.0,39.9,Kredi Kartı,Mevcut,4.0,3.0,Evet,0.36,483.26
SIP100543,MUS1101,2024-04-12 19:17:00,İstanbul,Marmara,Kozmetik,Nemlendirici,2,385.54,0.0,59.9,Kapıda Ödeme,Mevcut,5.0,5.0,Hayır,0.374,830.98
SIP100145,MUS1137,2025-11-22 18:35:00,Antalya,Akdeniz,Kozmetik,Serum,2,487.5,0.1,49.9,Kredi Kartı,VIP,3.0,5.0,Hayır,0.281,927.4
SIP100373,MUS1359,2024-11-21 20:47:00,İstanbul,Marmara,Ev ve Yaşam,Organizer,2,265.5,0.0,29.9,Havale/EFT,VIP,4.0,1.0,Evet,0.24,560.9
SIP100820,MUS1169,2025-05-23 22:05:00,Mersin,Akdeniz,Kozmetik,Güneş Kremi,1,455.99,0.0,39.9,Kredi Kartı,yeni,1.0,2.0,Hayır,0.207,495.89
SIP100582,MUS1213,2024-03-22 15:51:00,İstanbul,Marmara,Ev ve Yaşam,Kahve Kupası,1,200.91,0.0,29.9,Banka Kartı,Mevcut,2.0,3.0,Hayır,0.274,170.76
SIP101275,MUS1072,2025-08-19 08:40:00,Bursa,Marmara,Ev ve Yaşam,Termos,1,498.47,0.05,29.9,Dijital Cüzdan,Yeni,5.0,5.0,Evet,0.397,503.45
SIP100743,MUS1360,2024-04-26 18:30:00,Trabzon,Karadeniz,Ev ve Yaşam,Organizer,1,253.72,0.0,39.9,Havale/EFT,Mevcut,1.0,4.0,Hayır,0.278,293.62
SIP100807,MUS1431,2025-01-07 14:12:00,Ankara,İç Anadolu,Kozmetik,Güneş Kremi,1,451.28,0.0,49.9,Kredi Kartı,,4.0,5.0,Hayır,0.315,501.18
SIP100467,MUS1017,2024-05-29 21:03:00,Trabzon,Karadeniz,Kitap,İş Analitiği Rehberi,5,292.58,0.15,59.9,Havale/EFT,Yeni,5.0,4.0,Hayır,0.361,1303.36
SIP100679,MUS1310,2024-05-20 18:51:00,İzmir,Ege,Ev ve Yaşam,Termos,2,477.62,0.0,49.9,Kredi Kartı,Mevcut,,4.0,Hayır,0.323,1005.14
SIP100667,MUS1281,2024-11-05 16:29:00,Ankara,İç Anadolu,Kitap,Veri Bilimi 101,1,227.3,0.15,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.388,233.1
SIP101071,MUS1131,2024-09-18 12:24:00,,İç Anadolu,Elektronik,Powerbank,1,816.74,0.0,39.9,Banka Kartı,Yeni,3.0,5.0,Hayır,0.301,856.64
SIP100854,MUS1205,2025-01-25 09:25:00,Gaziantep,Güneydoğu Anadolu,Kozmetik,Serum,3,530.1,0.05,29.9,Kredi Kartı,Yeni,6.0,5.0,Hayır,0.328,1540.69
SIP100682,MUS1041,2025-08-04 15:45:00,Antalya,Akdeniz,Elektronik,Kablosuz Kulaklık,2,1632.03,0.1,59.9,Kart,Mevcut,4.0,2.0,Hayır,0.359,2997.55
SIP100063,MUS1249,2025-07-13 20:38:00,Eskişehir,İç Anadolu,Spor,Spor Çantası,3,896.11,0.0,0.0,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.328,2688.33
SIP100836,MUS1148,2024-08-17 19:13:00,Mersin,Akdeniz,Spor,Yoga Matı,2,737.33,0.05,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.388,1440.83
SIP100637,MUS1313,2024-03-30 08:06:00,Mersin,Akdeniz,Ofis,Mouse Pad,1,167.61,0.0,29.9,Kredi Kartı,Yeni,3.0,5.0,Hayır,0.283,197.51
SIP101366,MUS1347,2025-03-04 14:00:00,Bursa,Marmara,Ev ve Yaşam,Organizer,1,272.4,0.0,29.9,Kredi Kartı,Mevcut,1.0,,Hayır,0.212,302.3
SIP100971,MUS1117,2025-04-28 18:32:00,Samsun,Karadeniz,Kozmetik,Yüz Temizleme Jeli,1,337.35,0.0,29.9,Dijital Cüzdan,VIP,3.0,3.0,Hayır,0.35,367.25
SIP100261,MUS1371,2024-12-04 18:05:00,İzmir,Ege,Ofis,Mekanik Klavye,2,2584.72,0.1,49.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.341,4702.4
SIP101276,MUS1373,2025-08-04 16:55:00,Eskişehir,İç Anadolu,Ofis,Not Tutucu,1,146.83,0.0,29.9,Kredi Kartı,Yeni,4.0,4.0,Hayır,0.276,176.73
SIP101067,MUS1337,2025-06-02 12:23:00,Gaziantep,Güneydoğu Anadolu,Elektronik,Kablosuz Kulaklık,2,1541.34,0.0,29.9,Dijital Cüzdan,,5.0,4.0,Hayır,0.274,3112.58
SIP101368,MUS1383,2025-06-15 17:16:00,Konya,İç Anadolu,Kitap,İş Analitiği Rehberi,2,307.08,0.15,49.9,Kredi Kartı,Yeni,2.0,5.0,Hayır,0.289,571.94
SIP101138,MUS1045,2025-03-07 16:36:00,Ankara,İç Anadolu,Elektronik,Powerbank,1,749.66,0.05,39.9,Havale/EFT,Mevcut,3.0,4.0,Hayır,0.304,752.08
SIP100770,MUS1133,2025-12-11 21:07:00,Kayseri,İç Anadolu,Kitap,Zaman Yönetimi,1,166.83,0.05,49.9,Kredi Kartı,Mevcut,5.0,4.0,Evet,0.316,208.39
SIP100029,MUS1030,2024-10-30 11:03:00,Gaziantep,Güneydoğu Anadolu,Ev ve Yaşam,Masa Lambası,2,683.74,0.2,59.9,Banka Kartı,Mevcut,3.0,5.0,Hayır,0.411,1153.88
SIP100364,MUS1102,2025-08-19 17:16:00,İzmir,Ege,Kitap,Veri Bilimi 101,1,241.96,0.0,0.0,Dijital Cüzdan,Yeni,4.0,2.0,Hayır,0.304,241.96
SIP101079,MUS1065,2025-08-29 10:16:00,Antalya,Akdeniz,Spor,Direnç Bandı,2,250.14,0.05,49.9,Kredi Kartı,Mevcut,3.0,3.0,Hayır,0.221,525.17
SIP100052,MUS1346,2025-03-16 20:37:00,İstanbul,Marmara,Ofis,Mekanik Klavye,3,2052.67,0.1,49.9,Banka Kartı,Yeni,3.0,4.0,Hayır,0.398,5592.11
SIP100671,MUS1072,2025-01-23 13:31:00,İstanbul,Marmara,Elektronik ,Powerbank,2,865.6,,0.0,Banka Kartı,Yeni,5.0,3.0,Hayır,0.336,1731.2
SIP100788,MUS1116,2024-10-17 15:38:00,Ankara,İç Anadolu,Elektronik,Akıllı Saat,4,2789.09,0.0,39.9,Havale/EFT,Mevcut,5.0,5.0,Hayır,0.393,11196.26
SIP100402,MUS1203,2024-10-09 14:09:00,Konya,İç Anadolu,Elektronik,Bluetooth Hoparlör,2,1251.52,0.0,29.9,Banka Kartı,Mevcut,2.0,5.0,Hayır,0.272,2532.94
SIP100301,MUS1073,2024-10-29 14:58:00,Trabzon,Karadeniz,Spor,Yoga Matı,1,721.42,0.05,49.9,Dijital Cüzdan,Yeni,6.0,5.0,Hayır,0.346,735.25
SIP101239,MUS1016,2024-05-31 14:54:00,Bursa,Marmara,Kitap,Veri Bilimi 101,2,244.83,,39.9,Kredi Kartı,Vip,4.0,1.0,Hayır,0.321,529.56
SIP100799,MUS1338,2024-11-15 19:24:00,İstanbul,Marmara,Spor,Dambıl Seti,1,1523.96,0.05,49.9,Kredi Kartı,Yeni,4.0,5.0,Hayır,0.313,1497.66
SIP100872,MUS1348,2024-10-24 08:31:00,Antalya,Akdeniz,Kitap,Girişimcilik,5,193.81,0.15,39.9,Kredi Kartı,Mevcut,3.0,1.0,Hayır,0.286,863.59
SIP101326,MUS1420,2025-05-03 19:08:00,Gaziantep,Güneydoğu Anadolu,Spor,Suluk,3,198.8,0.05,39.9,Havale/EFT,Mevcut,5.0,5.0,Hayır,0.22,606.48
SIP100731,MUS1390,2024-03-02 12:08:00,İstanbul,Marmara,Kitap,Girişimcilik,2,193.69,0.1,39.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.408,388.54
SIP100607,MUS1340,2024-02-24 15:41:00,Kocaeli,Marmara,Kozmetik,Güneş Kremi,2,456.42,0.05,39.9,Dijital Cüzdan,Yeni,1.0,5.0,Hayır,0.225,907.1
SIP100108,MUS1241,2024-01-16 19:09:00,İzmir,Ege,Kozmetik,Şampuan,1,189.97,0.05,39.9,Kredi Kartı,Mevcut,2.0,4.0,Hayır,0.408,220.37
SIP101313,MUS1402,2025-09-15 11:51:00,Eskişehir,İç Anadolu,Elektronik,Kablosuz Kulaklık,2,1529.18,0.1,39.9,Kredi Kartı,Mevcut,6.0,3.0,Hayır,0.375,2792.42
SIP100510,MUS1113,2024-03-28 11:28:00,Konya,İç Anadolu,Kitap,İş Analitiği Rehberi,1,285.4,0.0,0.0,Banka Kartı,Mevcut,5.0,4.0,Hayır,0.209,285.4
SIP101238,MUS1352,2025-11-10 21:55:00,Ankara,İç Anadolu,Ofis,Kalem Seti,2,108.89,0.1,39.9,Dijital Cüzdan,Mevcut,1.0,5.0,Hayır,0.246,235.9
SIP101380,MUS1344,2025-10-29 13:11:00,Adana,Akdeniz,Kozmetik,Şampuan,1,182.67,0.0,29.9,Kredi Kartı,Mevcut,4.0,4.0,Hayır,0.253,212.57
SIP100777,MUS1186,2024-04-29 21:08:00,İstanbul,Marmara,Spor,Yoga Matı,1,681.47,0.0,49.9,Dijital Cüzdan,Mevcut,3.0,4.0,Hayır,0.413,731.37
SIP100681,MUS1280,2025-05-25 21:46:00,İzmir,Ege,Elektronik,Powerbank,1,749.85,0.0,49.9,Kredi Kartı,Mevcut,2.0,3.0,Hayır,0.375,799.75
SIP100548,MUS1378,2024-06-27 20:18:00,Antalya,Akdeniz,Kitap,Girişimcilik,2,230.54,0.1,39.9,Kredi Kartı,Mevcut,5.0,5.0,Hayır,0.192,454.87
SIP100540,MUS1186,2025-12-06 08:00:00,Adana,Akdeniz,Spor,Suluk,3,217.68,0.05,29.9,,mevcut,4.0,4.0,Hayır,0.281,650.29
SIP100087,MUS1391,2024-11-08 17:39:00,Ankara,İç Anadolu,Kozmetik,Şampuan,1,204.16,0.1,39.9,Kredi Kartı,VIP,2.0,4.0,Hayır,0.359,223.64
SIP101365,MUS1412,2025-03-24 21:07:00,Gaziantep,Güneydoğu Anadolu,Ev ve Yaşam,Masa Lambası,1,694.4,0.1,39.9,Kredi Kartı,Mevcut,2.0,5.0,Hayır,0.321,664.86
SIP100888,MUS1032,2024-03-12 09:21:00,İzmir,Ege,Elektronik,Powerbank,2,818.54,0.2,0.0,Kredi Kartı,VIP,4.0,3.0,Hayır,0.39,1309.66
SIP100991,MUS1125,2025-11-17 19:29:00,İstanbul,Marmara,Ev ve Yaşam,Saklama Kutusu,2,209.24,0.0,0.0,Kredi Kartı,Yeni,6.0,4.0,Hayır,0.21,418.48
SIP100223,MUS1212,2025-08-09 19:07:00,Mersin,Akdeniz,Ev ve Yaşam,Termos,1,467.94,0.1,49.9,Kredi Kartı,Mevcut,3.0,5.0,Hayır,0.356,471.05
SIP100940,MUS1032,2025-03-25 20:06:00,Samsun,Karadeniz,Kozmetik,Serum,1,507.46,0.15,39.9,Banka Kartı,Mevcut,3.0,4.0,Evet,0.402,471.24
SIP100130,MUS1403,2024-04-03 18:13:00,Ankara,İç Anadolu,Elektronik,Akıllı Saat,1,2719.52,0.1,39.9,Banka Kartı,Mevcut,6.0,2.0,Evet,0.413,2487.47
SIP100848,MUS1384,2024-05-06 13:05:00,İstanbul,Marmara,Kitap,Python Notları,2,232.08,0.0,39.9,Kredi Kartı,Yeni,2.0,4.0,Hayır,0.339,504.06
SIP101255,MUS1305,2024-02-25 09:03:00,Kocaeli,Marmara,Kozmetik,Şampuan,1,200.69,0.1,49.9,kredi kartı,VIP,2.0,5.0,Hayır,0.394,230.52
SIP100931,MUS1253,2024-07-19 21:40:00,Adana,Akdeniz,Ev ve Yaşam,Termos,2,491.34,0.0,39.9,Kredi Kartı,mevcut,2.0,5.0,Hayır,0.234,1022.58
SIP101328,MUS1266,2024-10-13 20:06:00,İstanbul,Marmara,Kitap,Girişimcilik,3,202.54,0.1,49.9,Kredi Kartı,Mevcut,5.0,5.0,Evet,0.266,596.76
SIP100064,MUS1202,2024-06-18 21:29:00,İstanbul,Marmara,Ofis,Not Tutucu,1,131.4,0.05,49.9,Dijital Cüzdan,VIP,4.0,4.0,Hayır,0.385,174.73
